Sprint,Duration,Sprint Theme,Sprint Goal,Sprint Exit Criteria,Task ID,Workstream,Epic,Task,Deliverable,Acceptance Criteria,Dependencies,Owner Role,Estimate (SP),Priority,Status
Sprint 1,2 weeks,"Discovery, reference audit, and product specification",Lock the complete dummy-product scope and produce approved mobile designs based on the PSK website and supplied mobile recording.,"Feature inventory, user flows, information architecture, API boundaries, data model, and primary Android/iOS screen designs are approved; trademark-safe branding direction is documented.",S1-01,Product,Reference audit,"Catalogue every visible website and recording feature, state, menu, and interaction.",Feature parity matrix,"Matrix covers sportsbook, account, wallet, community, content, casino, lotto, virtual games, help, and settings.",None,Product Manager,5,Critical,Completed
Sprint 1,2 weeks,"Discovery, reference audit, and product specification",Lock the complete dummy-product scope and produce approved mobile designs based on the PSK website and supplied mobile recording.,"Feature inventory, user flows, information architecture, API boundaries, data model, and primary Android/iOS screen designs are approved; trademark-safe branding direction is documented.",S1-02,UX,Information architecture,"Define drawer, bottom tabs, global actions, deep links, and screen hierarchy.",Navigation map,Every feature maps to a reachable mobile route with guest/authenticated access rules.,S1-01,UX Designer,5,Critical,Completed
Sprint 1,2 weeks,"Discovery, reference audit, and product specification",Lock the complete dummy-product scope and produce approved mobile designs based on the PSK website and supplied mobile recording.,"Feature inventory, user flows, information architecture, API boundaries, data model, and primary Android/iOS screen designs are approved; trademark-safe branding direction is documented.",S1-03,UX,Core flows,"Map browse-to-bet, live bet, ticket lookup, copied ticket, demo deposit, and game-launch flows.",User-flow diagrams,"Happy paths and loading, empty, validation, failure, and recovery states are included.",S1-01,UX Designer,5,Critical,Completed
Sprint 1,2 weeks,"Discovery, reference audit, and product specification",Lock the complete dummy-product scope and produce approved mobile designs based on the PSK website and supplied mobile recording.,"Feature inventory, user flows, information architecture, API boundaries, data model, and primary Android/iOS screen designs are approved; trademark-safe branding direction is documented.",S1-04,Design,Visual system,"Extract reference layout, density, colors, typography, cards, odds states, and responsive behavior.",Design system specification,Reusable tokens and component states cover light/dark themes and small/large phones.,S1-01,Product Designer,5,Critical,Completed
Sprint 1,2 weeks,"Discovery, reference audit, and product specification",Lock the complete dummy-product scope and produce approved mobile designs based on the PSK website and supplied mobile recording.,"Feature inventory, user flows, information architecture, API boundaries, data model, and primary Android/iOS screen designs are approved; trademark-safe branding direction is documented.",S1-05,Design,Screen design,"Create Superdesign drafts for offer, drawer, event, bet slip, ticket detail, live, casino lobby, and profile.",Approved screen set,Designs match the reference hierarchy and are approved before implementation.,"S1-02,S1-04",Product Designer,8,Critical,Completed
Sprint 1,2 weeks,"Discovery, reference audit, and product specification",Lock the complete dummy-product scope and produce approved mobile designs based on the PSK website and supplied mobile recording.,"Feature inventory, user flows, information architecture, API boundaries, data model, and primary Android/iOS screen designs are approved; trademark-safe branding direction is documented.",S1-06,Architecture,System design,"Define Expo, NestJS, MongoDB, Socket.IO, authentication, storage, and deployment architecture.",Architecture decision record,"Boundaries, data flows, failure handling, and local/cloud environments are decision-complete.",S1-01,Solution Architect,5,Critical,Completed
Sprint 1,2 weeks,"Discovery, reference audit, and product specification",Lock the complete dummy-product scope and produce approved mobile designs based on the PSK website and supplied mobile recording.,"Feature inventory, user flows, information architecture, API boundaries, data model, and primary Android/iOS screen designs are approved; trademark-safe branding direction is documented.",S1-07,Backend,Domain model,"Define MongoDB collections, indexes, relationships, audit fields, and transaction boundaries.",Schema specification,Model covers all modules and identifies replica-set transactions and TTL indexes.,S1-06,Backend Engineer,5,Critical,Completed
Sprint 1,2 weeks,"Discovery, reference audit, and product specification",Lock the complete dummy-product scope and produce approved mobile designs based on the PSK website and supplied mobile recording.,"Feature inventory, user flows, information architecture, API boundaries, data model, and primary Android/iOS screen designs are approved; trademark-safe branding direction is documented.",S1-08,QA,Test strategy,"Define test pyramid, device matrix, performance budgets, fixtures, and release gates.",QA strategy,Android and iOS parity criteria and critical end-to-end journeys are measurable.,"S1-01,S1-06",QA Engineer,3,High,Completed
Sprint 2,2 weeks,"Monorepo, environments, and MongoDB foundation",Create a reproducible full-stack development foundation with a shared TypeScript contract and MongoDB as the only database.,"A developer can start mobile, API, MongoDB replica set, and tests from documented commands; CI validates lint, types, unit tests, and builds.",S2-01,Platform,Monorepo,"Create apps/mobile, apps/api, packages/shared, packages/api-client, and packages/ui.",Working monorepo,All workspaces resolve shared code with strict TypeScript settings.,S1-06,Tech Lead,5,Critical,Not Started
Sprint 2,2 weeks,"Monorepo, environments, and MongoDB foundation",Create a reproducible full-stack development foundation with a shared TypeScript contract and MongoDB as the only database.,"A developer can start mobile, API, MongoDB replica set, and tests from documented commands; CI validates lint, types, unit tests, and builds.",S2-02,Backend,API foundation,"Create NestJS modules, global validation, error envelope, logging, health, and Swagger.",Running API skeleton,Health endpoint and OpenAPI document are available locally.,S2-01,Backend Engineer,5,Critical,Not Started
